date,USDT,total_market_cap,usdt_dominance
2024-03-27,83767645258.31335,2903250951606525.0,0.0028853050134009326
2024-03-28,73319687111.00621,2492120154184994.0,0.0029420606782494477
2024-03-29,61267747478.716034,1810461182051636.0,0.0033840961676563923
2024-03-30,46828274340.85091,1227666351390907.8,0.0038144137686754983
2024-03-31,45356547154.94751,1470020301814603.8,0.0030854367860742504
2024-04-01,75400836651.6829,2488843401189318.5,0.0030295532702319427
2024-04-02,96543837174.70041,3393156477762539.0,0.0028452515469714443
2024-04-03,72317074266.29439,2330596391859379.0,0.0031029428569825817
2024-04-04,68815655968.85701,2409820885407909.5,0.0028556336442079016
2024-04-05,64389098541.694435,2342407042145073.0,0.0027488432788662443
2024-04-06,41031756931.58514,1407406547654626.0,0.0029154160892574037
2024-04-07,45025172995.40376,1506311877176476.8,0.0029891003103422187
2024-04-08,69780880163.18492,2741097516419687.5,0.0025457277512085717
2024-04-09,70321567763.1127,2584290533891360.5,0.0027211169503153438
2024-04-10,68665029989.811424,2766287276442045.5,0.002482208936670066
2024-04-11,57657334457.73483,2163224714736113.5,0.0026653418881989943
2024-04-12,96362914006.50745,3039395415276351.0,0.0031704632283833935
2024-04-13,119077371903.24876,3467023862452041.0,0.0034345703008525504
2024-04-14,98736915553.26051,3309364789722415.0,0.002983560949820296
2024-04-15,87064615919.90736,2834838414790453.5,0.003071237339865914
2024-04-16,77418575594.62932,2795642162785508.0,0.0027692591213995493
2024-04-17,71118123504.40323,2622769448400293.0,0.0027115659574188013
2024-04-18,63593134802.485466,2334873867096624.0,0.0027236218494989814
2024-04-19,84404712377.59756,3251168564643607.5,0.0025961346112747617
2024-04-20,45645546128.48785,1533399658713727.5,0.002976754681605774
2024-04-21,40922982303.45866,1361822088295186.2,0.003005016782675966
2024-04-22,52758753997.30795,1930285993548823.2,0.0027332091811074683
2024-04-23,49394167083.96497,1651337924092462.2,0.0029911604622724864
2024-04-24,60986367834.28939,1991619955884531.0,0.0030621488629944834
2024-04-25,56140421384.918495,2118924385612898.8,0.002649477336997086
2024-04-26,45187956155.15771,1573158861692877.0,0.0028724343901626644
2024-04-27,40585157936.71591,1277915393754997.8,0.0031758877101762894
2024-04-28,36104396052.78362,1131903140051523.8,0.003189707208616823
2024-04-29,49718867354.452286,1749710408438448.8,0.00284154835649772
2024-04-30,66037079147.085144,2351078590162846.5,0.0028087993069815295
2024-05-01,76748619580.45587,2882706968873821.5,0.002662380200594548
2024-05-02,54772714923.18461,1974387732475744.0,0.0027741620362735668
2024-05-03,53900498718.16022,2127124200235935.0,0.0025339610499556966
2024-05-04,39533798141.121,1344127022164027.8,0.002941224861134931
2024-05-05,36233798988.27211,1199730680153644.2,0.0030201610734529026
2024-05-06,52933418812.98013,1853861091735666.2,0.0028553066380729497
2024-05-07,46143834059.0,1653030225160374.8,0.002791469469623472
2024-05-08,46604487829.79077,1632696631315733.5,0.002854448703813018
2024-05-09,46230887369.07344,1639334837816729.0,0.0028201003420780025
2024-05-10,50237502953.22995,1727376130534502.8,0.00290831290679494
2024-05-11,29164017892.89862,862312391552582.4,0.0033820710659612794
2024-05-12,25854364639.63457,866243163406168.8,0.0029846543940355275
2024-05-13,53197805769.11881,1795052803673854.0,0.002963578879698762
2024-05-14,57357384952.38254,1772329598684118.5,0.0032362707814036413
2024-05-15,70702580775.64217,2684742190937778.0,0.0026334960956137772
2024-05-16,62006202236.66192,2099672757917464.2,0.0029531364829518503
2024-05-17,56272225814.68474,1925808812732706.2,0.0029220047931359776
2024-05-18,39099924666.48797,1149374562219637.0,0.0034018435722972147
2024-05-19,38308923033.19863,1303857528502942.5,0.0029381218573155004
2024-05-20,86450475163.15417,3249721098080743.0,0.002660242911744367
2024-05-21,104819937026.3338,3437428087126088.0,0.0030493710521219963
2024-05-22,75417318677.537,2363479484943448.5,0.003190944501866134
2024-05-23,107834698048.96585,3020869597526928.0,0.0035696574965449037
2024-05-24,68646117775.53345,2085553980535340.5,0.0032915052027525406
2024-05-25,41177814745.15464,1110451584919292.0,0.003708204419209097
2024-05-26,44775041861.856026,1128174150261733.5,0.003968805866671234
2024-05-27,64418671244.11381,1870622527505391.2,0.003443702312834899
2024-05-28,75030306554.49048,2312787483082485.5,0.0032441504938659567
2024-05-29,64226662081.96126,1871868710525601.2,0.0034311520739041083
2024-05-30,66084931153.03924,2075480877154080.0,0.0031840780553784504
2024-05-31,58833448313.10056,1907312068822294.0,0.0030846262273917444
2024-06-01,34090657278.346462,822365568656859.9,0.004145438303554648
2024-06-02,47937500224.9444,1202653331923953.0,0.00398597824929783
2024-06-03,66313521940.98391,2284686860447367.0,0.0029025212640299857
2024-06-04,64606795244.80926,2392896038016817.0,0.0026999415861941934
